data__time;data__result__001;data__result__002;data__result__003;data__result__004;data__result__005;data__result__006
79,7964534;0,017605069;0,010550869;0,035230625;8,88E-19;0,017605069;-0,010550869
80,11061267;0,017605929;0,010551451;0,035231746;8,97E-19;0,017605929;-0,010551451
80,42477193;0,017605086;0,010550879;0,035230657;8,97E-19;0,017605086;-0,010550879
80,7389312;0,017605912;0,010551441;0,035231714;8,97E-19;0,017605912;-0,010551441
81,05309046;0,017605103;0,010550889;0,035230688;8,99E-19;0,017605103;-0,010550889
81,36724973;0,017605895;0,010551432;0,035231684;8,95E-19;0,017605895;-0,010551432
81,68140899;0,017605119;0,010550898;0,035230718;8,93E-19;0,017605119;-0,010550898
81,99556826;0,01760588;0,010551423;0,035231655;8,90E-19;0,01760588;-0,010551423
82,30972752;0,017605134;0,010550907;0,035230746;8,84E-19;0,017605134;-0,010550907
82,62388679;0,017605865;0,010551414;0,035231628;8,84E-19;0,017605865;-0,010551414
82,93804605;0,017605149;0,010550916;0,035230773;8,81E-19;0,017605149;-0,010550916
83,25220532;0,01760585;0,010551406;0,035231601;8,78E-19;0,01760585;-0,010551406
83,56636459;0,017605163;0,010550924;0,035230798;8,81E-19;0,017605163;-0,010550924
83,88052385;0,017605837;0,010551398;0,035231577;8,77E-19;0,017605837;-0,010551398
84,19468312;0,017605176;0,010550931;0,035230823;8,75E-19;0,017605176;-0,010550931
84,50884238;0,017605824;0,010551391;0,035231553;8,77E-19;0,017605824;-0,010551391
84,82300165;0,017605189;0,010550939;0,035230846;8,75E-19;0,017605189;-0,010550939
85,13716091;0,017605811;0,010551383;0,03523153;8,74E-19;0,017605811;-0,010551383
85,45132018;0,017605201;0,010550946;0,035230868;8,75E-19;0,017605201;-0,010550946
85,76547944;0,0176058;0,010551377;0,035231508;8,77E-19;0,0176058;-0,010551377
86,07963871;0,017605213;0,010550952;0,035230889;8,75E-19;0,017605213;-0,010550952
86,39379797;0,017605788;0,01055137;0,035231488;8,71E-19;0,017605788;-0,01055137
86,70795724;0,017605224;0,010550959;0,035230909;8,65E-19;0,017605224;-0,010550959
87,0221165;0,017605778;0,010551364;0,035231468;8,65E-19;0,017605778;-0,010551364
87,33627577;0,017605234;0,010550965;0,035230929;8,65E-19;0,017605234;-0,010550965
87,65043504;0,017605767;0,010551358;0,035231449;8,64E-19;0,017605767;-0,010551358
87,9645943;0,017605244;0,01055097;0,035230947;8,62E-19;0,017605244;-0,01055097
88,27875357;0,017605758;0,010551352;0,035231431;8,61E-19;0,017605758;-0,010551352
88,59291283;0,017605254;0,010550976;0,035230964;8,65E-19;0,017605254;-0,010550976
88,9070721;0,017605748;0,010551347;0,035231414;8,64E-19;0,017605748;-0,010551347
89,22123136;0,017605263;0,010550981;0,035230981;8,59E-19;0,017605263;-0,010550981
89,53539063;0,017605739;0,010551342;0,035231398;8,68E-19;0,017605739;-0,010551342
89,84954989;0,017605271;0,010550986;0,035230997;8,62E-19;0,017605271;-0,010550986
90,16370916;0,017605731;0,010551337;0,035231383;8,61E-19;0,017605731;-0,010551337
90,47786842;0,01760528;0,010550991;0,035231012;8,56E-19;0,01760528;-0,010550991
90,79202769;0,017605723;0,010551332;0,035231368;8,53E-19;0,017605723;-0,010551332
91,10618695;0,017605288;0,010550996;0,035231026;8,53E-19;0,017605288;-0,010550996
91,42034622;0,017605715;0,010551328;0,035231354;8,55E-19;0,017605715;-0,010551328
91,73450548;0,017605295;0,010551;0,03523104;8,50E-19;0,017605295;-0,010551
92,04866475;0,017605708;0,010551324;0,035231341;8,54E-19;0,017605708;-0,010551324
92,36282402;0,017605302;0,010551004;0,035231053;8,58E-19;0,017605302;-0,010551004
92,67698328;0,017605701;0,01055132;0,035231328;8,57E-19;0,017605701;-0,01055132
92,99114255;0,017605309;0,010551008;0,035231065;8,58E-19;0,017605309;-0,010551008
93,30530181;0,017605694;0,010551316;0,035231316;8,60E-19;0,017605694;-0,010551316
93,61946108;0,017605316;0,010551012;0,035231077;8,57E-19;0,017605316;-0,010551012
93,93362034;0,017605688;0,010551312;0,035231304;8,56E-19;0,017605688;-0,010551312
94,24777961;0,017605322;0,010551015;0,035231088;8,56E-19;0,017605322;-0,010551015
94,56193887;0,017605682;0,010551309;0,035231293;8,52E-19;0,017605682;-0,010551309
94,87609814;0,017605328;0,010551019;0,035231099;8,53E-19;0,017605328;-0,010551019
95,1902574;0,017605676;0,010551305;0,035231283;8,46E-19;0,017605676;-0,010551305
95,50441667;0,017605333;0,010551022;0,035231109;8,42E-19;0,017605333;-0,010551022
95,81857593;0,017605671;0,010551302;0,035231273;8,47E-19;0,017605671;-0,010551302
96,1327352;0,017605339;0,010551025;0,035231119;8,46E-19;0,017605339;-0,010551025
96,44689447;0,017605665;0,010551299;0,035231264;8,41E-19;0,017605665;-0,010551299
96,76105373;0,017605344;0,010551028;0,035231128;8,40E-19;0,017605344;-0,010551028
97,075213;0,01760566;0,010551296;0,035231255;8,38E-19;0,01760566;-0,010551296
97,38937226;0,017605349;0,010551031;0,035231137;8,34E-19;0,017605349;-0,010551031
97,70353153;0,017605656;0,010551294;0,035231246;8,35E-19;0,017605656;-0,010551294
98,01769079;0,017605353;0,010551033;0,035231145;8,40E-19;0,017605353;-0,010551033
98,33185006;0,017605651;0,010551291;0,035231238;8,43E-19;0,017605651;-0,010551291
