Time;Car linear displacement;Car angular displacement;Engine linear displacement;Driver linear displacement;Rear linear displacement;Front linear displacement;Car linear velocity;Car angular velocity;Engine linear velocity;Driver linear velocity;Rear linear velocity;Front linear velocity;Car linear acceleration;Car angular acceleration;Engine linear acceleration;Driver linear acceleration;Rear linear acceleration;Front linear acceleration;Car equivalente force;Car equivalente torque;Engine equivalente force;Driver equivalente force;Rear equivalente force;Front equivalente force
0.53;0.004365897;0.097063075;-0.02326516;0.014163937;-0.015129787;0.015152351;-0.826316021;-1.134844172;-0.50923545;-1.28106882;0.080451656;-0.549596777;-4.589498703;-53.36897263;-2.062718799;-26.16810159;5.628642987;-9.075494686;-1029.69825;-8.237586;-48.32114023;-392.266;-49.03325;-49.03325
0.54;-0.004340622;0.083366676;-0.028227321;0.000765065;-0.014193356;0.009147979;-0.914987767;-1.604187629;-0.483196596;-1.398705609;0.106834399;-0.651277585;-13.14485048;-40.06176774;7.270489447;2.640743706;-0.352094447;-11.26066699;-1029.69825;-8.237586;-229.9044689;-392.266;-49.03325;-49.03325
0.55;-0.014124106;0.065632162;-0.032874062;-0.012647166;-0.013241414;0.002146238;-1.041708971;-1.942584228;-0.446151598;-1.283740573;0.083554016;-0.74907061;-12.19939038;-27.69595634;0.138510227;20.35226349;-4.303982094;-8.297937928;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-49.03325
0.56;-0.024897224;0.045190288;-0.037690759;-0.024564648;-0.012523074;-0.005509654;-1.112914664;-2.145817678;-0.517187878;-1.099755843;0.060114037;-0.782107845;-2.04174811;-13.27575528;-14.34576617;16.44468254;-0.384013629;1.690490933;-1029.69825;-8.237586;-5.455131077;-392.266;-49.03325;-49.03325
0.57;-0.035943628;0.023600425;-0.04284781;-0.035172841;-0.011871864;-0.012986256;-1.096366143;-2.172312821;-0.514222382;-1.021882807;0.070128045;-0.713212551;5.351452256;7.671008789;14.93886521;-0.87007535;2.386815229;12.0885678;-1029.69825;-8.237586;-187.0384598;-392.266;-49.03325;-49.03325
0.58;-0.046384404;0.002630799;-0.047299628;-0.04574448;-0.011101055;-0.019396074;-0.99178896;-2.021786836;-0.376141133;-1.092444853;0.084033622;-0.568751083;15.56398438;22.31238548;12.67738462;-13.24233379;0.394300155;16.80372593;-1029.69825;-8.237586;-187.0384598;-392.266;-49.03325;-49.03325
0.59;-0.05540889;-0.016264059;-0.050770353;-0.057155954;-0.010272484;-0.02427513;-0.813108359;-1.757280145;-0.318003875;-1.189849938;0.08168054;-0.407060051;20.1721359;30.6299071;-1.049932877;-6.238683159;-0.864916557;15.53448035;-1029.69825;-8.237586;-5.455131077;-392.266;-49.03325;-49.03325
0.6;-0.062743832;-0.032100918;-0.05371525;-0.068764899;-0.009593264;-0.0277023;-0.653879878;-1.410091254;-0.270975454;-1.131939191;0.054163596;-0.278373969;11.67356019;38.88258801;10.45561703;17.82083245;-4.638472301;10.20273603;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-49.03325
0.61;-0.068830521;-0.044189416;-0.056316894;-0.078630701;-0.009397761;-0.030075967;-0.563458027;-1.007544975;-0.24935349;-0.841221191;-0.015063049;-0.196359457;6.410809998;41.61737797;-6.131224332;40.32276765;-9.206856737;6.200166388;-1029.69825;-8.237586;-229.9044689;-392.266;-49.03325;-49.03325
0.62;-0.074079998;-0.05216964;-0.059189173;-0.084941954;-0.009948005;-0.03167092;-0.486437267;-0.588427672;-0.325102349;-0.421029459;-0.094985806;-0.122631037;8.993342122;42.07150137;-9.018547375;43.71557864;-6.777694586;8.545517668;-1029.69825;-8.237586;-48.32114023;-392.266;-49.03325;-49.03325
